==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
  1 4989239fbeb6eb40fc0b664d9ba92636-asconhash... 126976  296954   UNSAT   UNSAT       642.0s       272.0s     OK
  2 fd1fbc1b090c14746a883b3a17259743-9vliw_bp_...  20093  179492   UNSAT   UNSAT      1453.4s      12.737s     OK
  3 909f704d5f4127c1197a086705468624-rbsat-v76...    760   43649 TIMEOUT     SAT      5000.0s       6.402s    N/A
  4 0297c2a35f116ffd5382aea5b421e6df-Urquhart-...     45     376 TIMEOUT   UNSAT      5000.0s      23.681s    N/A
  5 096ac97e4261eabca440fc7bc135d7c0-SC23_Time... 248016  803998 TIMEOUT     SAT      5000.0s       152.7s    N/A
  6 20cae5fe475d571da703f89d5da4bb8f-grs-96-32...  75802  223028 TIMEOUT   UNSAT      5000.0s       216.7s    N/A
  7 96ae6bde39369f75aa975b0f5b74c325-asconhash... 158736  373160 TIMEOUT     SAT      5000.0s       243.5s    N/A
  8 26114429758a203d651f4df87c94de4c-sgen1-uns...   7009   13996 TIMEOUT   UNSAT      5000.0s       335.2s    N/A
  9 73063c6257a4ffc29f5bea7028403a64-mod2c-ran...    354    2596 TIMEOUT     SAT      5000.0s       784.6s    N/A
 10 f20c2aa0f9cced05a74031e0a3afaa1a-SC23_Time... 250094  817098 TIMEOUT     SAT      5000.0s      2248.8s    N/A
 11 a8dc92a9c0434576b47c82c94ab5c446-Grain_no_...   2425   48007 TIMEOUT   UNSAT      5000.0s      3651.7s    N/A
 12 d17aa530bbd09452b0f32daf4ab9c8f0-tph8.cnf        136    5457 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 13 11db226d109e82f93aaa3b2604173ff9-posixpath...    351    4291 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 14 38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v11...   1150   84314 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 15 b09585f2346c207e9e14a3daf0de46cf-CNF_to_al...    231    1880 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 16 41a8365f60db55b71d949df6954e0db7-FileObjec...    247    2073 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 17 824c21545e228872744675ae4ee32976-WCNFPlus_...    518    7611 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 18 1a40d2d8c589799a0d267cae03fcd4c5-SCPC-800-...    800   33490 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 19 c9f7ca549a6773bea4628e2c66f597c6-brent_51_...  60676  255969 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 20 5437ba8972228ea5531a69a9aa064acc-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 21 bc3a8bd47c5575c2f1b31882d28ee091-26_1.cnf       4288   14336 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 22 008e7716c69009090ff6bd0048dc55f8-SAT_dat.k...  46169  207720 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 23 d8f131a86243ef138af39abf52a479e5-SC23_Time... 249051  807916 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 24 e51a98d78f61103e0672579e87cfd7e5-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 25 8ade10da9731ce31d103c1687ff40a3d-brent_63_...  75079  319864 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 26 5f6861053fb4ed4fc0b997cd6b505ef4-tseitin_d... 165000  440000 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 27 6e9cae5108bd423666c73aaace197769-brent_51_...  60534  248804 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 28 33cfa309d10e1d4fe30f1302807f42ce-SC23_Time... 248675  804920 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 29 2b3de92685792ae19e4549b5c4571e27-crafted_n...  56064 15834160 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 30 a0c7aea176b5a2b65c27c8af7039326b-grs-160-6... 224116  660286 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 31 d0364ea3e1680c6da7e982e6b0264af6-new-diffi...    624   38944     SAT TIMEOUT       1.109s      5000.0s    N/A
 32 2a144840047376cee3b7b99455158976-goldberg0...  12998   77941 TIMEOUT   UNSAT      5000.0s       383.3s    N/A
 33 02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#...   2672   16408 TIMEOUT   UNSAT      5000.0s      1344.3s    N/A
 34 e444548857eaf649c4624e3494c89c8e-asconhash... 158617  373265 TIMEOUT   UNSAT      5000.0s      2113.0s    N/A
 35 8fa526d20599ca8c3d613e9066d62e61-sat-bench... 618847 2697185 TIMEOUT   UNSAT      5000.0s      2400.4s    N/A
 36 40ae60a61929b6bfa2ac99ab4b9a0f7e-grs-96-19... 688704 1988478 ERROR() TIMEOUT      4813.4s      5000.0s    N/A
 37 112b0ac22b2a567cd3badfed3a5497fd-mchess16-...  16278     988 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 38 0811f761eee5e4ef28196fd98884a67b-multiplie...   3728   11082 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 39 1f6cf91464c6a19022144774b162a3cc-ER_500_30...   1002  113965 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 40 328da7966b09b2f6e99c93c4e877fbff-sgen3-n26...    260     624 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 41 af3d5273605b21b9d4c56dd46cbf366a-SCPC-700-...    700   27275 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 42 c32f194ad850c944142c74514dfb3c5f-WCNFPlus_...    637   15090 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 43 7dc81d3cb9066f8bc06ceffbca237572-TableMode...   7182   70119 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 44 964162c1faee2c1e3a4dfa4f9c75c34f-php18-mix...    526    5477 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 45 19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0...  10449   45927 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 46 faeb113864d97ea4cb3f01f95d2fe92f-SCPC-800-...    800   33695 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 47 9fe43145e48a0ef0096bb72531f1a0e3-16_1.cnf       2688    8896 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 48 6d67f76f114db9801952ed155e745e16-23_2.cnf       3808   12704 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 49 5b3d8a4465726adfcb58b9cdb1cc33f1-intervals...   2550   59684 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 50 52be8740aab896317320cd44a5d2af2f-intervals...   2572   61869 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 51 f08b3567642ea029452fff2c1d10c132-brent_15_...  17565   72961 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
