==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
  1 44b249f51321a2bf38f730534b781bec-c880_gr_r...   4592   61745     SAT     SAT      261.9ms      367.4ms     OK
  2 220bb8aa093e502c47afcdac3140d67c-vmpc_24.cnf     576   67872     SAT     SAT       477.6s      12.819s     OK
  3 037d21e060a2e3eab8b080aa84ceee75-mm-1x10-1...   2396   83733 TIMEOUT     SAT      5000.0s      548.3ms    N/A
  4 3cff6c97a515aecfe46ba0f1256a3c11-shuffling...   3502   30746 TIMEOUT     SAT      5000.0s       572.2s    N/A
  5 8cf6b81061285343c4f33c51afdb3fbb-minxor128...  54258  160469 TIMEOUT   UNSAT      5000.0s      1250.1s    N/A
  6 f20c2aa0f9cced05a74031e0a3afaa1a-SC23_Time... 250094  817098 TIMEOUT     SAT      5000.0s      2109.1s    N/A
  7 29bab0de14e56e526be9683131005cb2-stb_588_1...   1176   13650 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
  8 824c21545e228872744675ae4ee32976-WCNFPlus_...    518    7611 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
  9 1a40d2d8c589799a0d267cae03fcd4c5-SCPC-800-...    800   33490 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 10 aa4a861240c0c39b5aa44602133ae5e1-stb_418_1...    836   17335 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 11 fe8b1ef742724947620a419d0180a640-mchess18-...  26095    1252 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 12 d3daba681653ea969bedf0c4a2fdb947-ER_400_20...    802   48439 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 13 b6c6f1081dbb672e8294685d03326b09-intervals...   2496   56165 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 14 953e9ff735bdf5ada27b0ab2b908b6af-WS_400_24...    800   15601 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 15 71cf538aa0751d27f144de9c8d82e458-TableMode...  10440  115620 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 16 5437ba8972228ea5531a69a9aa064acc-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 17 deef4e5f8bf88393cea9589dff97d70c-ContextMo...  36736  246104 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 18 008e7716c69009090ff6bd0048dc55f8-SAT_dat.k...  46169  207720 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 19 c9f7ca549a6773bea4628e2c66f597c6-brent_51_...  60676  255969 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 20 0ef0d91d378eab41ba6fb9dfc9b87fc8-sat-bench... 1067515 4730117 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 21 670a24d73dbadd3073e9604c6ef903d1-tseitin_g... 134680  536648 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 22 33cfa309d10e1d4fe30f1302807f42ce-SC23_Time... 248675  804920 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 23 a0c7aea176b5a2b65c27c8af7039326b-grs-160-6... 224116  660286 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 24 00a981f385cd209d41e1efa1f5f29bac-ibm-2004-...  69839  286405     SAT     SAT      19.043s       4.022s     OK
 25 71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-t...  64138  181073   UNSAT   UNSAT      42.624s       1.337s     OK
 26 9631e4082abf03e560b889c5715d3979-PRP_30_41... 191450 1145084 TIMEOUT     SAT      5000.0s       200.9s    N/A
 27 8d31ec9edeac705ffd1b23f0cc4f3256-ContextMo...  13797   78642 TIMEOUT     SAT      5000.0s       203.7s    N/A
 28 a1276d5dcb822aa03806df58fa9ca1c8-grs-128-3...  94810  279508 TIMEOUT   UNSAT      5000.0s       319.0s    N/A
 29 1a63072b90f88c7fa621b5041f412b79-asconhash... 158612  373236 TIMEOUT   UNSAT      5000.0s       502.5s    N/A
 30 fee70cede2b5b55bfbdb6e48fbe7ce4f-DLTM_twit...  34886  217180 TIMEOUT     SAT      5000.0s       541.8s    N/A
 31 29e101b66dfddb440e974b9feec5b1aa-spg_200_3... 321487 1576009 TIMEOUT   UNSAT      5000.0s       914.7s    N/A
 32 d5efaaee0197822c2676e45bac5068b2-SC23_Time... 249943  809626 TIMEOUT     SAT      5000.0s      2872.6s    N/A
 33 abe802007c9aed4eab2e758fb130174b-mp1-klieb...   9383   28084 TIMEOUT   UNSAT      5000.0s      4734.0s    N/A
 34 b86f2425cafeb1239d65bd529e372e02-ER_500_10...   1002   38764 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 35 54ab5a53d2fdfcda16ec74768b29f901-rphp_p30_...   1800   26625 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 36 03a43a7ea55217f53542ed3f029963af-satch2way...  16883   50558 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 37 8270ae50e6f2881136868db6d3a88eee-WS_400_24...    800   15201 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 38 df237594dc22b8f7cad2c4b38a23e40c-17_0.cnf       2848    9440 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 39 22d0a2fdc65d884c2bbde56af9feba4a-intervals...   2379   52032 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 40 10196804504080e7107809a2e5b3bfcc-ContextMo...  29610  186009 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 41 4611cd26b441b8c5866e4a2c5a7952dc-WS_400_24...    800   15601 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 42 67904554c73addf89fe675bd8e494641-intervals...   2604   64331 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 43 f26f199564d6ffac7e700c2e66470ec0-TableSymM...   5976   60612 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 44 3e7dc7350195104b76b7d03ab5b0af8f-SC23_Time... 253201  823946 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 45 caead0e04b6de4365822b25dfd55967f-preimage_...  56108  224201 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 46 3498eea73b78ddc444cbee48b121c541-grs-64-16... 448832 1292158 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 47 da43a3ef0ef5d34143e765d480dedc7a-DivU_624_...    624  612150   UNSAT   UNSAT      4371.5s       268.0s     OK
 48 d0364ea3e1680c6da7e982e6b0264af6-new-diffi...    624   38944     SAT TIMEOUT      447.7ms      5000.0s    N/A
 49 70af2c3bfd44bcf9baa2a9605f4a17fe-gensys-ic...   1444    7479 TIMEOUT   UNSAT      5000.0s       110.8s    N/A
 50 79c109a8c1da53c6b636d3835f11a19d-grs-64-32...  56794  166548 TIMEOUT   UNSAT      5000.0s       675.5s    N/A
 51 2f219dfa21d996e1834aa247f934f304-grs-192-4... 192442  568516 TIMEOUT   UNSAT      5000.0s       895.9s    N/A
 52 02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#...   2672   16408 TIMEOUT   UNSAT      5000.0s      1146.5s    N/A
 53 428da12ab8f5f68ae261e6468c2fef73-TableSymM...  10440  115644 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
