/opt/gridview/slurm/spool/slurmd/job289967/slurm_script: line 16: module: command not found
==========================================================================================
  SAT Solver Benchmark: CDCLSolver vs MiniSat (Parallel)
==========================================================================================
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Dataset     : Datasets/cdcl_dimacs/large/cnfs (356 files)
  Timeout     : 300s
  Workers     : 32
==========================================================================================

[INFO] Submitting 356 instances ...
  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 19 03de316ba1e90305471a3b8620cb9cd7-satsgi-n2...    598   14076     SAT     SAT       35.5ms       46.4ms     OK
 16 037c423f56548082b1935e88c48ffdda-3col120_5...    240    1026     SAT     SAT      481.6ms      158.7ms     OK
  2 00a981f385cd209d41e1efa1f5f29bac-ibm-2004-...  69839  286405     SAT     SAT      55.464s      12.921s     OK
 17 037d21e060a2e3eab8b080aa84ceee75-mm-1x10-1...   2396   83733 TIMEOUT     SAT       300.0s       1.940s    N/A
 13 0297c2a35f116ffd5382aea5b421e6df-Urquhart-...     45     376 TIMEOUT   UNSAT       300.0s      23.691s    N/A
  6 00f4aca773e5675f35263dcd46b15bde-vmpc_28.s...    784  108080 TIMEOUT     SAT       300.0s        73.2s    N/A
  5 00f2eb377986e7decbc863931680a3b2-rand_net7...   5600   16661 TIMEOUT   UNSAT       300.0s        92.4s    N/A
 12 028d0cc7af63e9bba5795f20e24db4f6-pyhala-br...   7383   24320 TIMEOUT     SAT       300.0s       102.3s    N/A
 30 0c9da400944b002f90fd385d4fdab385-DivS_568_...    568  553495 TIMEOUT     SAT       300.0s       123.2s    N/A
 25 096ac97e4261eabca440fc7bc135d7c0-SC23_Time... 248016  803998 TIMEOUT     SAT       300.0s       156.8s    N/A
[INFO] Completed 10/356
 20 03e9d1abe418a1727bbf2ead77d69d02-php15-mix...    354    2938 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
  3 00b46ace235e3915a439c77a231a5657-TableSymM...   7182   70140 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
  7 017ba03ed108f492c9293c7c95e5cae9-multiplie...   4376   13018 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 22 075ca0a158690a55b7254d9aaee2e103-asconhash... 126995  297208 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 18 03a43a7ea55217f53542ed3f029963af-satch2way...  16883   50558 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 23 0811f761eee5e4ef28196fd98884a67b-multiplie...   3728   11082 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 26 0a279c478775cdeede51ad431aebf200-24_0.cnf       3968   13248 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 27 0a4ed112f2cdc0a524976a15d1821097-cliquecol...    270    6663 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 29 0be1e12a8e7282d1a4e389bb90f6dbc7-or_randxo...   1200    8093 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 28 0ae0c5a4fb9001d63669a0aa5b592167-multiplie...   5776   17202 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 20/356
  9 01966a0fc52b2200a13f5f835275a919-SGI_30_70...    810   68270 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
  4 00bb0b4ef28ed38c49de4c54b9fabc4d-25_2.cnf       4128   13792 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 32 0eb98926b26343d31954169dfbde2b24-satcoin-g... 134781  648806 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
  1 008e7716c69009090ff6bd0048dc55f8-SAT_dat.k...  46169  207720 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 14 0336f81b60baac5b8f481dd3c32861a5-mod4block...    479  123509 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 31 0d3e99a07b6a6b67ac59d706c0af9d68-grs-32-16... 372416 1063454 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
  8 0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#...  10841   83711 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 11 02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#...   2672   16408 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 10 01dd5feb463fa80f73809718f6ff735b-10pipe_q0...  77639 2082017 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 24 0945c95ba9b82c32d12fc9d9e5229c5a-SC23_Time... 248145  803289 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 30/356
 21 06b138e8a6da806e88ac7da2919cef30-grs-192-3... 132826  392468 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 15 036b541db9d0839b0591d408ff4f77ae-aes_decry... 279120 1607567 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 33 0ef0d91d378eab41ba6fb9dfc9b87fc8-sat-bench... 1067515 4730117 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 34 10196804504080e7107809a2e5b3bfcc-ContextMo...  29610  186009 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 62 211938776d92f11870a687abd11d55a4-iso-icl00...   1001    9897   UNSAT   UNSAT       1.526s       20.6ms     OK
 35 112b0ac22b2a567cd3badfed3a5497fd-mchess16-...  16278     988 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 40 17039a3ed02ea12653ec5389e56dab50-pbl-00070...    257    7375 TIMEOUT   UNSAT       300.0s       74.7ms    N/A
 69 24b93d0bf941e4b050c9109e4cb7faf4-connm-ue-...    556    6427     SAT     SAT        64.1s      585.6ms     OK
 70 24bf910d2b9da558fb3e71a4dbe79ba3-lisa19_99...   1201    6563     SAT     SAT      18.876s       6.704s     OK
 36 1153a473e1d5dd21ccd33189d594a4aa-tseitin_d...  15000   40000 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 40/356
 51 1a6a635f5b959e191ec705b2f236568a-square.2....  42387  183641 TIMEOUT   UNSAT       300.0s       7.664s    N/A
 37 11db226d109e82f93aaa3b2604173ff9-posixpath...    351    4291 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 65 220bb8aa093e502c47afcdac3140d67c-vmpc_24.cnf     576   67872 TIMEOUT     SAT       300.0s      48.683s    N/A
 52 1aa7cd96ab1f7bf58984deccf8362ab4-rand_net5...   6000   17901 TIMEOUT   UNSAT       300.0s      50.607s    N/A
 38 14a5ff0d6213dcfe182ec656764bbdfb-satcoin-g... 141429  646176 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 39 15c53f73c62a78c24bf5974e4a7afcd8-18_1.cnf       3008    9984 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 41 177a4ad8fd76ad8240387998112c3168-SC23_Time... 247375  798538 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 42 18416a9ac0909dce5fa96345f784c87e-intervals...   2568   57706 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 61 20cae5fe475d571da703f89d5da4bb8f-grs-96-32...  75802  223028 TIMEOUT   UNSAT       300.0s       222.7s    N/A
 77 27b4fe4cb0b4e2fd8327209ca5ff352c-grid_10_2...    398     741   UNSAT   UNSAT       205.7s       20.2ms     OK
[INFO] Completed 50/356
 43 189e5991b041a89700513106988e720d-rphp_p20_...    800    7850 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 44 18babbd2835b8a37c6299f8b0301c7c9-brent_67_...  80042  349609 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 47 19c6a29181bee2f3aa03bfb5c5d693d0-brent_9_0...  10449   45927 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
